Longitude;Latitude;chlor_a
106,1041616;-4,1875;2,6277153
106,1458282;-4,1875;2,3577943
106,1874949;-4,1875;2,1891952
106,2291616;-4,1875;2,0227745
106,2708282;-4,1875;1,9902794
106,3124949;-4,1875;1,9697897
106,3541616;-4,1875;1,9355806
106,3958282;-4,1875;1,7973751
106,4374949;-4,1875;1,6813076
106,4791616;-4,1875;1,5495518
106,5208282;-4,1875;1,4070126
106,5624949;-4,1875;1,3224555
106,6041616;-4,1875;1,2402139
106,6458282;-4,1875;1,1361147
106,6874949;-4,1875;1,0868908
106,7291616;-4,1875;1,0549178
106,7708282;-4,1875;1,0295359
106,8124949;-4,1875;0,94489735
106,8541616;-4,1875;0,79132545
107,1874949;-4,1875;0,5640635
107,2291616;-4,1875;0,5591214
107,2708282;-4,1875;0,5760732
107,3124949;-4,1875;0,5510293
107,3541616;-4,1875;0,55066395
107,3958282;-4,1875;0,5568559
105,8541616;-4,229166667;3,614762
105,8958282;-4,229166667;2,665698
105,9374949;-4,229166667;3,1463447
105,9791616;-4,229166667;3,1065888
106,0208282;-4,229166667;2,8242426
106,0624949;-4,229166667;2,6916058
106,1041616;-4,229166667;2,6962264
106,1458282;-4,229166667;2,5181365
106,1874949;-4,229166667;2,331904
106,2291616;-4,229166667;2,0745962
106,2708282;-4,229166667;1,8760828
106,3124949;-4,229166667;1,8437063
106,3541616;-4,229166667;1,8575771
106,3958282;-4,229166667;1,7720842
106,4374949;-4,229166667;1,5841047
106,4791616;-4,229166667;1,4486854
106,5208282;-4,229166667;1,3210237
106,5624949;-4,229166667;1,2541145
106,6041616;-4,229166667;1,1963567
106,6458282;-4,229166667;1,1174493
106,6874949;-4,229166667;1,0801048
106,7291616;-4,229166667;0,9654757
106,7708282;-4,229166667;0,92818576
107,1874949;-4,229166667;0,5640635
107,2291616;-4,229166667;0,5532243
107,2708282;-4,229166667;0,55169064
107,3124949;-4,229166667;0,5510293
107,3541616;-4,229166667;0,5506638
107,3958282;-4,229166667;0,5568549
105,8958282;-4,270833333;3,51959
105,9374949;-4,270833333;3,3350627
105,9791616;-4,270833333;3,2592106
106,0208282;-4,270833333;2,6824784
106,0624949;-4,270833333;2,5475347
106,1041616;-4,270833333;2,6164756
106,1458282;-4,270833333;2,3800077
106,1874949;-4,270833333;2,2522407
106,2291616;-4,270833333;2,1315498
106,2708282;-4,270833333;2,1024663
106,3124949;-4,270833333;1,9425329
106,3541616;-4,270833333;1,784964
106,3958282;-4,270833333;1,808088
106,4374949;-4,270833333;1,5760984
106,4791616;-4,270833333;1,4704652
106,5208282;-4,270833333;1,3373338
106,5624949;-4,270833333;1,2469722
106,6041616;-4,270833333;1,1823442
106,6458282;-4,270833333;1,1247033
106,6874949;-4,270833333;1,0616615
106,7291616;-4,270833333;0,9801307
106,7708282;-4,270833333;0,9624379
106,8124949;-4,270833333;0,705855
106,8541616;-4,270833333;0,70659745
106,8958282;-4,270833333;0,7070446
107,0624949;-4,270833333;0,7214005
107,1041616;-4,270833333;0,7214005
107,1874949;-4,270833333;0,5724541
107,2291616;-4,270833333;0,5534039
107,2708282;-4,270833333;0,5288927
107,3124949;-4,270833333;0,49753547
107,3541616;-4,270833333;0,49010485
105,8958282;-4,3125;3,5195918
105,9374949;-4,3125;3,637164
105,9791616;-4,3125;3,4740765
106,0208282;-4,3125;3,303614
106,0624949;-4,3125;2,7252743
106,1041616;-4,3125;2,5338504
106,1458282;-4,3125;2,2940447
106,1874949;-4,3125;2,2331843
106,2291616;-4,3125;2,1860445
106,2708282;-4,3125;2,2614906
106,3124949;-4,3125;1,9441106
106,3541616;-4,3125;1,6987528
106,3958282;-4,3125;1,7422135
106,4374949;-4,3125;1,6946207
106,4791616;-4,3125;1,4844544
106,5208282;-4,3125;1,4009401
106,5624949;-4,3125;1,2851154
106,6041616;-4,3125;1,2235445
106,6458282;-4,3125;1,1301752
106,6874949;-4,3125;0,9321189
106,7291616;-4,3125;0,82826215
106,7708282;-4,3125;0,7523541
106,8124949;-4,3125;0,7058543
106,8541616;-4,3125;0,70659655
106,8958282;-4,3125;0,707042
107,0624949;-4,3125;0,72140056
107,1041616;-4,3125;0,7214006
107,1458282;-4,3125;0,57605165
107,1874949;-4,3125;0,57245415
107,2291616;-4,3125;0,5618873
107,2708282;-4,3125;0,5745552
107,3124949;-4,3125;0,5773574
107,3541616;-4,3125;0,49010485
105,8958282;-4,354166667;5,577699
105,9374949;-4,354166667;5,0620527
105,9791616;-4,354166667;4,03467
106,0208282;-4,354166667;3,0897088
106,0624949;-4,354166667;2,75096
106,1041616;-4,354166667;2,517649
106,1458282;-4,354166667;2,2366781
106,1874949;-4,354166667;2,0570538
106,2291616;-4,354166667;1,9876562
106,2708282;-4,354166667;2,1574473
106,3124949;-4,354166667;2,0192978
106,3541616;-4,354166667;1,8776151
106,3958282;-4,354166667;1,8315965
106,4374949;-4,354166667;1,7773106
106,4791616;-4,354166667;1,542627
106,5208282;-4,354166667;1,4665082
106,5624949;-4,354166667;1,3408766
106,6041616;-4,354166667;1,1026442
106,6458282;-4,354166667;0,9809302
106,6874949;-4,354166667;0,9189337
106,7291616;-4,354166667;0,81102073
106,7708282;-4,354166667;0,69457686
106,8124949;-4,354166667;0,65181214
106,8541616;-4,354166667;0,63882786
106,8958282;-4,354166667;0,65431815
107,0624949;-4,354166667;0,7214005
107,1041616;-4,354166667;0,7214005
107,1458282;-4,354166667;0,5760517
107,1874949;-4,354166667;0,57329994
107,2291616;-4,354166667;0,5342045
107,2708282;-4,354166667;0,5616632
107,3124949;-4,354166667;0,5773627
105,9374949;-4,395833333;4,303103
105,9791616;-4,395833333;4,1635685
106,0208282;-4,395833333;3,244837
106,0624949;-4,395833333;2,895514
106,1041616;-4,395833333;2,5191574
106,1458282;-4,395833333;2,3673036
106,1874949;-4,395833333;2,0637298
106,2291616;-4,395833333;1,9242096
